test9
3.80843e+06,386418,5.0847e+06,5,392092399
53.2108,5.79363,97.7592,392092399
-23,90,-207,392092399
-114,92,174,392092399
2,0,-1.25905e+08,2.40536e+07,0,24633,0,35.75,0,0,0,0,0,0,0,0,0,392092,1925
6,0,-1.11982e+08,2.12112e+07,0,59527,0,41,0,0,0,0,0,0,0,0,0,392092,1925
9,0,-1.10758e+08,2.0902e+07,0,8610,0,44.25,0,0,0,0,0,0,0,0,0,392092,1925
17,0,-1.36539e+08,2.38622e+07,0,831,0,37.5,0,0,0,0,0,0,0,0,0,392092,1925
23,0,-1.08795e+08,2.06448e+07,0,28734,0,45.25,0,0,0,0,0,0,0,0,0,392092,1925
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3.80842e+06,386423,5.08469e+06,5,392092599
53.2108,5.79372,83.4819,392092599
82,-51,103,392092599
1,-59,-128,392092599
2,0,-1.25904e+08,2.40535e+07,0,24633,0,34.75,0,0,0,0,0,0,0,0,0,392093,1925
6,0,-1.11982e+08,2.12111e+07,0,59527,0,39.75,0,0,0,0,0,0,0,0,0,392093,1925
9,0,-1.10757e+08,2.09019e+07,0,8610,0,41.25,0,0,0,0,0,0,0,0,0,392093,1925
17,0,-1.36539e+08,2.38624e+07,0,831,0,40,0,0,0,0,0,0,0,0,0,392093,1925
23,0,-1.08795e+08,2.06448e+07,0,28734,0,39.75,0,0,0,0,0,0,0,0,0,392093,1925
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3.80841e+06,386417,5.08469e+06,5,392092799
53.2108,5.79364,83.182,392092799
196,-93,332,392092799
51,-113,-377,392092799
2,0,-1.25904e+08,2.40534e+07,0,24633,0,44.5,0,0,0,0,0,0,0,0,0,392093,1925
6,0,-1.11981e+08,2.12111e+07,0,59527,0,42,0,0,0,0,0,0,0,0,0,392093,1925
9,0,-1.10757e+08,2.09019e+07,0,8610,0,41.5,0,0,0,0,0,0,0,0,0,392093,1925
17,0,-1.3654e+08,2.38625e+07,0,831,0,41.75,0,0,0,0,0,0,0,0,0,392093,1925
23,0,-1.08795e+08,2.06448e+07,0,28734,0,46.75,0,0,0,0,0,0,0,0,0,392093,1925
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3.80841e+06,386421,5.08468e+06,5,392092999
53.2108,5.7937,72.5578,392092999
73,-15,-14,392092999
-65,-22,-32,392092999
2,0,-1.25903e+08,2.40533e+07,0,24633,0,36.5,0,0,0,0,0,0,0,0,0,392093,1925
6,0,-1.11981e+08,2.1211e+07,0,59527,0,43.5,0,0,0,0,0,0,0,0,0,392093,1925
9,0,-1.10756e+08,2.09018e+07,0,8610,0,41,0,0,0,0,0,0,0,0,0,392093,1925
17,0,-1.36541e+08,2.38626e+07,0,831,0,33.5,0,0,0,0,0,0,0,0,0,392093,1925
23,0,-1.08795e+08,2.06448e+07,0,28734,0,43.75,0,0,0,0,0,0,0,0,0,392093,1925
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3.80842e+06,386417,5.08469e+06,5,392093199
53.2108,5.79364,78.0249,392093199
51,-3,-89,392093199
-94,-8,41,392093199
2,0,-1.25902e+08,2.40532e+07,0,24633,0,39,0,0,0,0,0,0,0,0,0,392093,1925
6,0,-1.11981e+08,2.12109e+07,0,59527,0,41,0,0,0,0,0,0,0,0,0,392093,1925
9,0,-1.10756e+08,2.09017e+07,0,8610,0,43.25,0,0,0,0,0,0,0,0,0,392093,1925
17,0,-1.36541e+08,2.38627e+07,0,831,0,35.75,0,0,0,0,0,0,0,0,0,392093,1925
23,0,-1.08795e+08,2.06448e+07,0,28734,0,41.25,0,0,0,0,0,0,0,0,0,392093,1925
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3.80841e+06,386418,5.08469e+06,5,392093399
53.2108,5.79364,74.7418,392093399
48,-124,23,392093399
-14,-128,-39,392093399
2,0,-1.25902e+08,2.4053e+07,0,24633,0,37,0,0,0,0,0,0,0,0,0,392093,1925
6,0,-1.1198e+08,2.12109e+07,0,59527,0,41.5,0,0,0,0,0,0,0,0,0,392093,1925
9,0,-1.10756e+08,2.09016e+07,0,8610,0,44.5,0,0,0,0,0,0,0,0,0,392093,1925
17,0,-1.36542e+08,2.38628e+07,0,831,0,39.5,0,0,0,0,0,0,0,0,0,392093,1925
23,0,-1.08795e+08,2.06448e+07,0,28734,0,37,0,0,0,0,0,0,0,0,0,392093,1925
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3.80841e+06,386417,5.08469e+06,5,392093599
53.2108,5.79363,78.0404,392093599
57,50,-22,392093599
-62,44,-19,392093599
2,0,-1.25901e+08,2.40529e+07,0,24633,0,40.25,0,0,0,0,0,0,0,0,0,392094,1925
6,0,-1.1198e+08,2.12108e+07,0,59527,0,40,0,0,0,0,0,0,0,0,0,392094,1925
